City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,alice springs,-23.7,133.8833,31.75,40,0,5.14,AU,1678437399
234,vila velha,-20.3297,-40.2925,22.97,94,40,1.03,BR,1678437401
235,kabompo,-13.5927,24.2008,27.38,58,95,1.66,ZM,1678437401
236,port hardy,50.6996,-127.4199,5.0,93,20,1.54,CA,1678437402
237,marzuq,14.4,46.4667,28.42,27,40,5.54,YE,1678437403
238,alekseyevka,50.6309,38.6903,4.81,87,100,4.58,RU,1678437404
239,morales,2.757,-76.6172,13.96,96,100,0.76,CO,1678437404
240,hami,42.8,93.45,12.91,10,0,4.06,CN,1678437405
241,saint george,37.1041,-113.5841,12.92,38,100,6.69,US,1678437406
242,saldanha,-33.0117,17.9442,18.87,64,0,1.91,ZA,1678437407
243,qaqortoq,60.7167,-46.0333,-4.77,70,100,5.15,GL,1678437407
244,rio tuba,8.5061,117.4317,26.49,76,57,3.54,PH,1678437408
245,east london,-33.0153,27.9116,27.55,60,1,7.7,ZA,1678437409
246,isangel,-19.55,169.2667,25.41,82,58,3.95,VU,1678436963
247,hamilton,39.1834,-84.5333,6.91,81,100,6.69,US,1678436756
248,llangefni,53.2556,-4.3106,3.18,87,40,6.17,GB,1678437411
249,taltal,-25.4,-70.4833,18.82,89,16,0.26,CL,1678437412
250,esil,51.9556,66.4042,-1.09,82,93,4.27,KZ,1678437413
251,leningradskiy,69.3833,178.4167,-15.98,96,75,5.41,RU,1678437414
252,akdepe,42.0551,59.3788,19.05,39,100,2.67,TM,1678437414
253,joshimath,30.5667,79.5667,18.87,34,1,3.63,IN,1678437415
254,grindavik,63.8424,-22.4338,-7.74,57,20,8.23,IS,1678436990
255,saint-pierre,-21.3393,55.4781,27.82,78,75,11.32,RE,1678437416
256,serov,59.6033,60.5787,1.52,100,100,4.4,RU,1678437417
257,ouadda,8.0777,22.4007,33.94,12,100,3.83,CF,1678437418
258,deputatskiy,69.3,139.9,-30.89,83,2,1.63,RU,1678436955
259,longyearbyen,78.2186,15.6401,-9.09,86,100,17.49,SJ,1678436854
260,lundamo,63.1333,10.3,-8.33,67,69,3.05,NO,1678437420
261,nouadhibou,20.931,-17.0347,18.99,77,0,7.72,MR,1678437420
262,acapulco,16.8634,-99.8901,22.9,88,75,1.54,MX,1678437184
263,ventanas,-1.45,-79.4667,22.59,98,100,1.09,EC,1678437422
264,livingstone,-17.8419,25.8543,30.13,40,97,3.01,ZM,1678437422
265,svetlyy,54.675,20.1347,-1.69,94,100,7.87,RU,1678437423
266,santiago,-33.4569,-70.6483,20.47,56,0,1.03,CL,1678437307
267,katsuura,35.1333,140.3,15.95,80,3,5.36,JP,1678437424
268,pemagatsel,27.0319,91.4266,21.93,27,6,2.9,BT,1678437425
269,tommot,58.9564,126.2925,-5.06,93,100,2.12,RU,1678437426
270,severo-kurilsk,50.6789,156.125,-3.21,84,99,0.93,RU,1678437427
271,sakti,22.0333,82.9667,34.96,12,5,4.06,IN,1678437428
272,cayenne,4.9333,-52.3333,22.02,100,75,0.0,GF,1678437428
273,snyder,32.7179,-100.9176,9.19,93,100,7.2,US,1678437258
274,narsaq,60.9167,-46.05,3.12,70,100,4.78,GL,1678437023
275,troitskiy,57.0603,63.7481,2.32,97,64,6.24,RU,1678437430
276,kailua,21.4022,-157.7394,20.99,68,74,2.44,US,1678437431
277,pando,-34.7167,-55.95,21.05,94,0,4.63,UY,1678437432
278,faya,18.3851,42.4509,16.06,59,15,5.37,SA,1678437433
279,gold coast,-28.0,153.4333,25.1,91,100,3.6,AU,1678437332
280,ustrzyki dolne,49.4304,22.5938,10.55,100,30,6.58,PL,1678437434
281,vao,-22.6667,167.4833,25.31,76,2,5.89,NC,1678437108
282,alberton,46.8168,-64.0654,-0.93,89,97,6.0,CA,1678437435
283,sidi ali,36.0998,0.4206,15.97,76,91,8.02,DZ,1678437436
284,heihe,50.2441,127.4902,-0.68,90,100,8.45,CN,1678437437
285,mandalgovi,45.7625,106.2708,-1.89,17,1,3.69,MN,1678437438
286,talnakh,69.4865,88.3972,-16.55,87,100,8.68,RU,1678437438
